Priority,Can be drawn,Name,Biome Type,Chance To Get Lost,Difficult,Flavor Text,Ability,Secret Effect,On Reveal,On Reveal Text,On Visit
1,Yes,Grassland,Fields,10%,1,Like a lawn the runs to the horizon.,Insert any tile to upgrade to Grassland Highway.,,,,
2,Yes,Grassland Highway,Fields,0%,1,Printer drones have spread this spindle of mountaintop plasphalt all the way to the horizon.,,,,,
,Yes,Temple of Saint Bread,Fields,,4,"After a cup of matcha latte, everything in life looks a little better.",Reveals your card to be a positive effect,The revealed random card is on the upper end of the spectrum of effects. It is revealed to be better than the average effect of that biome.,,,
1,Yes,Bandit Copse,Fields,,-1,Insert any tile to not lose a tile when visiting. Insert a Woods tile to upgrade to a Forest.,,,Lose a random tile.,,
,Yes,Winding Tunnel,Fields,0%,2,Where does this go?,Skip the effects of the next tile.,None,,,
,Yes,Landmark,Fields,,3,Did the ancient world use this spire as a point of reference? No other purpose is apparent.,,,Reduce the chance to get lost on all adjacent tiles by 20%,,
2,Yes,Lodestone Outcropping,Fields,0%,2,"The knowledge required to make compasses was never lost to us, but on our tiny mountaintop, there was no need for them.",,,,,Explorers visiting here reduce their chance to get lost by 5%
,Yes,Abandoned Wagon,Fields,0%,2,Deep wagon ruts make it impossible to lose the way.,,,Reveal Wagon Caravan within 2 tiles,,
,No,Wagon Caravan,Fields,0%,0,"These nomads have seen a hundred lands, but when they hear about the mountaintop, they promise to visit soon.","Insert a tile to deck 4 settlements, 4 fields, 4 forests, and 1 swamp. ",,,,
,Yes,Croplands,Fields,,,,,,,,
1,No,Unpassable,Mountaintop,,,Too steep to climb.,Impassable,,,,
1,No,Videonarium,Mountaintop,,,A crowd has gathered to complete the 9853rd Annual Series Marathon of Friends,insert forest to upgrade to Traveler's Forum.,,,,
1,No,Traveler's Forum,Mountaintop,,,"Lectures, memoirs, and scientific illustrations inspire the next generation of explorer dreams.",Insert Wasteland to upgrade to World Academy.,,Plus 1 Explorer,,
,No,World Academy,Mountaintop,,,"Shocked by the dangers of a chaotic world, we systemitized prepartions for all explorers.",,,Plus 1 Explorer,,
1,No,Database Protein Printer,Mountaintop,,,Today's Menu: Breakfast Bacon flavored protein porridge. Lunch Special! Chicken breast protein porridge. Dinner: Oatsimilie Protein Porridge.,Insert Fields to upgrade to Hydroponic Protein Printer.,,,,
,No,Hydroponic Protein Printer,Mountaintop,,,Today's Menu: Breakfast: Whole Grain Chia Oats. Lunch Special! Bacon Protein BLT. Dinner: Chicken Salad With Celery.,Insert Swamp to upgrade to Gastroprint Farm,,Plus 1 Journey Plan Slots,,
