Priority	Can be drawn	Name	Biome Type	Chance To Get Lost	Difficult	Impassable	Flavor Text	Ability	Secret Effect	On Reveal	On Reveal Text	On Visit	OnVisitTooltipOnVisitTooltipText	OnVisitPopupText	Vistation Sprite	Pool 1 Membership	Pool 2	Pool 3	Pool 4
	No	A Worried Mother	Settlement		0		I've looked everywhere!					If this Explorer has visited Lost Child, upgrade to Happy Reunion				0	0	0	0
Done	Yes	Abandoned Wagon	Fields	0.00	2		Deep wagon ruts make it impossible to lose the way.			Reveal Wagon Caravan within 2 tiles						0	0	1	1
Done	No	Airlock	Mountaintop	0.00	0		An airlock with simple controls: two buttons labeled 'Depart' and 'Seal'. Until recently, it has never been used.			Reveal location of Fireworks	For a year, the airlock out of Stratohaven has stood unlocked, yet none dared venture beyond. Our haven in the clouds has provided all we needed. Why risk the barren lands below? But today, something changed. In the distance, bursts of light pierced the sky - fireworks, akin to those in our old TV shows. Are we truly alone? Curiosity stirs in Stratohaven. Our bravest will journey to uncover this enigma.					0	0	0	0
Done	Yes	Bandit Copse	Fields	0.03	-2		The locals know to stay away from this stand of trees, but traveler's can't tell it from any other.	Insert any tile to not lose a tile when visiting. Insert a Woods tile to upgrade to a Forest.				Remove the tile in the first slot of the journey plan	Lose a tile.	Oh no! Bandits stole one of your explorer's cards!		0	1	1	1
Done	Yes	Barren Earth	Wasteland	0.30	-2		The ashy regolith of this place offers no comfort.									0	0	0	1
Done	No	Bonefire	Wasteland	0.05	0		Exhausted refugees huddle around a mound of burning bones and warn each other about the dangers they've encountered.	Insert one Wood to deck 5 cards and 7 Wastelands and upgrade to Smouldering Bonefire								0	0	0	0
Done	No	Briar Passage	Woods	0.05	0			Insert a forest tile to clear the passageway.	Ability upgrades to Cleared Briar Passage							0	0	0	0
Done	No	Bristling Wall	Woods		0	TRUE		Impassable. Insert Wasteland to burn the thicket.	Upgrades to Wildfire							0	0	0	0
Done	No	Canopy Village	Woods	0.00	0			Insert a forest, 50% chance to deck a Settlement, 50% chance to deck any card.		Deck a forest						0	0	0	0
Done	No	Cleared Briar Passage	Woods	0.05	0					Place adjacent Nettled Nest. Place an adjacent Bristling Wall.		Upgrade to Briar Passage				0	0	0	0
Done	Yes	Cleared Thorngate	Woods	0.05	0					Place adjacent Briar Passage. Place 4 adjacent Bristling Walls		Upgrade to Thorngate				0	0	0	1
Done	No	Complex Foundation	Mountaintop	0.00	0		A complex foundation to some kind of structure. The Plasticom has instructed us not to disturb it.	Insert Stratolink to upgrade.								0	0	0	0
Done	Yes	Contagious Mangrove	Swamp		-2							30% chance to replace a tile in the Journey Plan with a Swamp			AIPlaceholderArt/MangroveIcon	0	0	1	1
DONE	No	Control Room	Wasteland	0.00	0					Deck 10 cards	The coordinates lead us not to another city in the clouds, but to a secluded control room nestled on a lesser-known mountain. The room is filled with old technology and screens, some still flickering with life. Stasia's digital logs reveal she was a guardian of sorts, the most recent in a long line of clones, maintaining the technology that oversees these mountaintop settlements. The screens show several settlements like Stratohaven, yet ours is the only one with the gate marked 'open.' The question lingers in the air: If Stasia died before Stratohaven was unlocked, who unlocked our city, and why? We hope the Stratolink printplans we discovered will lead to answers.					0	0	0	0
	Yes	Creeping Fungus	Wasteland	0.20	-5		The sound the Stratohaven's fungal sweepers make when they encounter creeping fungus spores sounds like a mechanical cough, but the plasticom assures us this is just how recursive filtering sounds when it is functioning normally.		Place Creeping Fungus in an adjacent unexplored tile every 60 seconds.										
DONE	Yes	Croplands	Fields													1	1	1	1
	Yes	Crow Throne	Swamp	0.01	-4		On this throne sits a pessimistic oracle.	Reveals a random card in the Journey Plan.	The revealed random card is on the low end of the spectrum of effects. It is revealed to be worse than the average effect of that biome.							0	0	1	1
Done	No	Crystal Clear River	Mountaintop	0.00	0		Like flowing glass.			Place an adjacent Tumbling River						0	0	0	0
Done	No	Database Protein Printer	Mountaintop		0		Today's Menu: Breakfast Bacon flavored protein porridge. Lunch Special! Chicken breast protein porridge. Dinner: Oatsimilie Protein Porridge.	Insert Woods to upgrade to Hydroponic Protein Printer.								0	0	0	0
	Yes	Delta	Swamp		-3					Place 2 adjacent Speading Delta		Move to an adjacent Spreading Delta				0	0	1	1
DONE	No	Delta Edge	Swamp		0											0	0	0	0
Done	No	Electronic Device	Woods	0.00	0											0	0	0	0
Done	No	Electronic Diary	Woods	0.00	0					Unlocks Pool 3, Deck 4 cards, Show Stasia's Residency tile on other side of Purification Plant Maintenance Slough	The device Bennett found indeed turned out to be an electronic diary, and it belonged to someone named Stasia. According to the diary, she lived in a place that sounds remarkably like our own Stratohaven. She mentions coordinates that she often visited. Maybe we can find her.					0	0	0	0
Done	No	Empty Nest	Woods		0											0	0	0	0
Done	No	Endless Festival	Settlement	0.00	0		The original Explorer has found love and settled with a local!	Insert a field to attend, deck a field. Insert a forest to attend, deck a forest. Insert a swamp to attend, deck a swamp.								0	0	0	0
Done	No	Explorer's Gate	Mountaintop		0		In 12 foot tall letters, 'Curiosity' is las-etched on the inside of the gate,  and 'Wonder' on the outside.									0	0	0	0
Done	No	Fields	Fields	0.00	0											0	0	0	0
Done	No	Fireworks	Fields	0.00	0	TRUE		Insert a tile to Upgrade to Fireworks Glenn								0	0	0	0
Done	No	Fireworks Glen	Fields	0.00	0					Deck 4 cards, Show Strider Village tile 1 space away, increase journey plan slots	Our expedition below Stratohaven yielded the unimaginable – survivors! We believed the surface world extinct, yet here they thrive, ignorant of our technologies like protein printers or television screens. Among the survivors, they exclaim that our technology reminds them of 'talking metal' that their neighbor speaks of. They provide directions to their village, where tales of this device originated. Perhaps this is a clue to others from our world.					0	0	0	0
DONE	Yes	Freshwater Bog	Swamp													0	0	1	1
Done	Yes	Friendly Tavern	Settlement	0.02	3		All who are weary are welcome to rest here and hear the tales of fellow travelers.	Insert a card to deck 1 card								0	1	1	1
Done	Yes	Froggie Bog Pirates	Swamp		-2	TRUE	A twangy dirge drifts through the miasma acompanied by a croaking chrous that reveals a submerged stash.	Impassable.		Explorer is turned back, reveal Submerged Stash 2 hexes away.						0	0	1	1
DONE	Yes	Frozen Marsh	Swamp													0	0	1	1
DONE	No	Gastroprint Farm	Mountaintop		0		Today's Menu: Breakfast Savory Cinnamon Oat Crepes, Lunch Special! Five Star Chicken Tikka Masala, Dinner: Maple Glazed Pancetta Charcuterie			Plus 1 Journey Plan Slots						0	0	0	0
	Yes	Giant Spider Lair	Wasteland		-5		insert wasteland, 30% chance to pass, insert fields 50% chance to pass, insert settlement for 90% chance to pass.									0	0	0	1
DONE	No	Global Datamentarian	Mountaintop		0		The Plasticom voraciously records all the updated information we bring it from outside Stratohaven.			Plus 1 Hand Size						0	0	0	0
Done	Yes	Grassland	Fields	0.10	1		Like a lawn the runs to the horizon.	Insert any tile to upgrade to Grassland Highway.								1	1	1	1
Done	Yes	Grassland Highway	Fields	0.00	1		Printer drones have spread this spindle of mountaintop plasphalt all the way to the horizon.									1	1	1	1
Done	Yes	Graveyard Crest	Wasteland	0.40	-2		Six gravestones worn smooth with time fill this small memorial. Five of them stand above gaping pits.	Insert a field to fill in the pits. Insert a wasteland to remove this desecration.	Inserting a wasteland upgrades to Vengeful Vantage, decks 5 wastelands. Insert a field upgrades to Barren Earth.							0	0	0	1
Done	Yes	Green Canopy	Woods	0.07	2		Wind ripples an emerald ceiling, causing slivers of sunlight to dance across the carpet of ferns.	Insert a Settlement to upgrade to Canopy Village, Insert a Field to upgrade to Megalo Fruit Farm								0	1	1	1
Done	No	Happy Reunion	Settlement	0.00	0					Deck 4 Settlements, 8 fields, 1 forest						0	0	0	0
done	No	Highland Plateau	Fields	0.00	0		Grazing animals have worn a thick path into the turf here.									0	0	0	0
2	Yes	Honored Court	Settlement	0.00	5		Uh, you know what. We'll take you there ourselves.	Knights escort your explorer safely to the next waypoint. Skip effects on the way.								0	1	1	1
DONE	No	Hydroponic Protein Printer	Mountaintop		0		Today's Menu: Breakfast: Whole Grain Chia Oats. Lunch Special! Bacon Protein BLT. Dinner: Chicken Salad With Celery.	Insert Swamp to upgrade to Gastroprint Farm		Plus 1 Journey Plan Slots						0	0	0	0
DONE	No	Interwoven Intellect	Mountaintop		0					Plus 1 Hand Size						0	0	0	0
Done	Yes	Landmark	Fields		3		Did the ancient world use this spire as a point of reference? No other purpose is apparent.			Reduce the chance to get lost on all adjacent tiles by 20%						0	1	1	1
